Method,N_Genes,mean_acc,std_acc,n,se,lower,upper
LLM-scCurator,10,78.33333333,0.402077936,6,0.16414763,46.16039785,100
LLM-scCurator,20,66.66666667,0.516397779,6,0.210818511,25.34623857,100
LLM-scCurator,50,78.33333333,0.402077936,6,0.16414763,46.16039785,100
LLM-scCurator,100,83.33333333,0.40824829,6,0.166666667,50.66666667,100
LLM-scCurator,200,50,0.547722558,6,0.223606798,6.173067641,93.82693236
Standard,10,56.66666667,0.458984386,6,0.187379591,19.94026684,93.3930665
Standard,20,61.66666667,0.49159604,6,0.200693243,22.33079104,100
Standard,50,66.66666667,0.516397779,6,0.210818511,25.34623857,100
Standard,100,61.66666667,0.49159604,6,0.200693243,22.33079104,100
Standard,200,61.66666667,0.49159604,6,0.200693243,22.33079104,100